file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/style.css,39,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,40,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,17
src/style.css,41,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,66
src/style.css,42,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,17
src/style.css,43,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,44,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,45,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,13
src/style.css,46,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,59
src/style.css,47,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,60
src/style.css,48,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,49,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,50,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,27
src/style.css,51,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,4
src/style.css,52,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,46
src/style.css,53,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,60
src/style.css,54,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,38
src/style.css,55,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,18
src/style.css,56,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,21
src/style.css,57,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,73
src/style.css,58,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,59,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,60,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,7
src/style.css,61,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,54
src/style.css,62,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,63,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,64,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,7
src/style.css,65,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,54
src/style.css,66,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,67,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,68,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,6
src/style.css,69,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,61
src/style.css,70,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,63
src/style.css,71,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,44
src/style.css,72,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,55
src/style.css,73,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,51
src/style.css,74,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,17
src/style.css,75,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,76,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,77,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,12
src/style.css,78,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,74
src/style.css,79,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,73
src/style.css,80,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,49
src/style.css,81,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,82,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,83,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,14
src/style.css,84,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,82
src/style.css,85,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,89
src/style.css,86,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,68
src/style.css,87,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,88,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,89,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,31
src/style.css,90,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,5
src/style.css,91,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,13
src/style.css,92,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,83
src/style.css,93,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,46
src/style.css,94,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,39
src/style.css,95,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,36
src/style.css,96,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,97,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
src/style.css,98,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,42
src/style.css,99,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,6
src/style.css,100,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,14
src/style.css,101,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,19
src/style.css,102,css,3864594c,mengkongaun,2024-10-20,12:57:00,-07:00,2024-10-20T12:57:00-07:00,0,0
